id,name,listeners,alive,management,nationality,band
lega,Legado 7,"6,768,039",1,Lumbre Music,USA,1
biti,Big Time Rush,"2,466,173",1,Columbia Records (Sony),USA,1
paba,Paul Banks,"63,725",1,Matador Records,USA,2
licr,2 Live Crew,"492,371",2,Luke Records,USA,1
juwr,Juice WRLD,"29,638,237",2,Interscope Records (UMG),USA,2
ugod,U-God (Wu-Tang Clan),"49,013",1,Babygrande Records,USA,2
leca,Lewis Capaldi,"25,500,009",1,Vertigo Records (UMG),UK,2
kauc,Kali Uchis,"34,204,281",1,Capitol Records (UMG),USA,2
rior,Rita Ora,"10,974,824",1,BMG Rights Management (WMG),Kosovo,2
jegl,Jess Glynne,"27,865,814",1,EMI Records (UMG),UK,2
jame,James,"2,270,690",1,Factory Records,UK,1
neat,Ned's Atomic Dustbin,"46,332",2,Sony Music Entertainment ,UK,1
pjha, PJ Harvey,"1,423,296",1,Island Records,UK,1
rem,R.E.M,"23,603,266",2,Warner Bros. Records (WMG),USA,1
gwst,Gwen Stefani,"26,355,886",1,Interscope Records,USA,2
rafl,Rascal Flatts,"11,628,211",1,Big Machine Records,USA,1
gest,George Strait,"9,889,321",1,D Records,USA,2
brpa,Brad Paisley,"5,669,517",1,Arista Nashville,USA,2
timc,Tim McGraw,"10,133,954",1,Arista Nashville,USA,2
keur,Keith Urban,"6,754,032",1,Capitol Nashville,Australien,2
neki,New Kids on the Block,"1,599,671",1,Columbia Records,USA,1
thpu,The Pussycat Dolls,"17,038,203",1,Interscope Records,USA,1
tath,Take That,"6,703,836",1,EMI Records (UMG),UK,1
muse,Muse,"21,012,499",1,Warner Records,UK,1
nodo,No Doubt,"16,256,696",1,Interscope Records,USA,1
snpa,Snow Patrol,"13,772,091",1,Interscope Records,UK,1
grar,Groove Armada,"3,246,763",1,Columbia Records,UK,1
fait,Faithless,"11,938,861",1,Sony Music Entertainment,UK,1
joma,John Mayer,"15,762,925",1,Columbia Records,USA,2
shcr,Sheryl Crow,"8,661,394",1,Big Machine Records,USA,2
lekr,Lenny Kravitz,"19,355,629",1,Virgin Records,USA,2
thpo,The Police,"40,355,624",2,Illegal Records,UK,1
ofar,O.A.R. (Of A Revolution),"1,272,983",1,Lava Records,USA,1
matw,Matchbox Twenty,"9,316,795",1,Lava Records,USA,1
mibr,Michelle Branch,"2,831,151",1,Warner Records,USA,2
vaca,Vanessa Carlton,"11,209,457",1,Murder Inc. Records ,USA,2
flth,Florence + the Machine,"25,981,842",1,Island Records (UMG),UK,1
utwo,U2,"23,689,131",1,Island Records (UMG),Irland,1
trsi,Troye Sivan,"19,302,095",1,Interscope Records,Australien,2
mami,Mac Miller,"43,630,240",2,Warner Records,USA,2
lidr,Little Dragon,"1,273,363",1,Peacefrog Records,Schweden,1
jhai,Jhene Aiko,"14,594,187",1,Def Jam Recordings,USA,2
jesj,Jessie J,"21,159,350",1,Lava Records,UK,2
chag,Christina Aguilera,"33,245,694",1,RCA Records,USA,2
chlo,Cher Lloyd,"1,987,340",1,Epic Records,UK,2
clba,Clean Bandit,"35,225,156",1,Atlantic Records,UK,1
tamc,Tate McRae,"41,702,225",1,RCA Records (Sony),Kanada,2
kygo,Kygo,"28,371,172",1,Sony Music (Sony),Norwegen,2
fewa,Fetty Wap ,"20,503,217",1,300 Entertainment (WMG),USA,2
reho,Red Hot Chili Peppers,"47,449,827",1,Warner Bros. Records (WMG),USA,1
thva,The Vamps,"6,285,770",1,Virgin Records,UK,1
yoam,You Am I,"91,451",1,Virgin Records,Australien,1
thbl,The Black Keys,"8,955,539",1,Easy Eye Sound,USA,1
yeas,Yeasayer,"228,885",2,Mute Records,USA,1
mgmt,MGMT,"21,835,203",1,Columbia Records,USA,1
juij,Juicy J,"8,915,082",1,Columbia Records,USA,2
chgi,The Cheetah Girls,"635,451",2,Walt Disney Records,USA,1
dase,Daniel Seavey,"1,760,195",1,Atlantic Records,USA,2
neba,Nessa Barrett,"6,807,068",1,Warner Records,USA,2
sxte,SX-10,"2,586",1,NA,USA,1
syof,System of a Down,"26,176,073",1,Columbia Records,USA,1
auma,Austin Mahone,"3,502,172",1,Republic Records,USA,2
jape,Jack Penate ,"72,671",1,XL Recordings,UK,2
lord,Lorde,"26,767,744",1,Universal Music (UMG),Neuseeland,2
thlo,Theophilus London,"1,095,771",1,Downtown Music Publishing,USA,2
lizz,Lizzo,"10,470,164",1,Atlantic Records (WMG),USA,2
thko,The Kooks,"6,429,854",1,Listen,UK,1
delo,Demi Lovato ,"37,793,814",1,Island Records (UMG),USA,2
thjo,The Jonas Brothers,"18,265,963",1,Republic Records (UMG),USA,1
inte,Interpol,"2,943,491",1,Red Light Management ,USA,1
awol,AWOLNATION,"3,760,541",1,Two Twenty Five Music (TTFM),USA,1
thpa,The Parlotones ,"61,544",1,NA,Südafrika,1
gltr,Gloria Trevi,"8,680,615",1,NA,Mexico,2
lufo,Luis Fonsi,"25,180,553",1,Universal Music Latino,Puerto Rico,2
